,Company Name,Industry,Symbol,Series,ISIN Code,nifty100,nifty200,nifty500,nifty500Multicap502525,nifty50,niftylargemidcap250,niftymicrocap250,niftymidcap100,niftymidcap150,niftymidcap50,niftymidcapselect,niftymidsmallcap400,niftynext50,niftysmallcap100,niftysmallcap250,niftysmallcap50
0,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,1,1,1,1,,1,,,,,,,1,,,
1,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,1,1,1,1,,1,,,,,,,1,,,
2,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,1,1,1,1,,1,,,,,,,1,,,
3,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,1,1,1,1,1,1,,,,,,,,,,
4,Adani Transmission Ltd.,Power,ADANITRANS,EQ,INE931S01010,1,1,1,1,,1,,,,,,,1,,,
5,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,1,1,1,1,,1,,,,,,,1,,,
6,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,1,1,1,1,1,1,,,,,,,,,,
7,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,1,1,1,1,1,1,,,,,,,,,,
8,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,1,1,1,1,,1,,,,,,,1,,,
9,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,1,1,1,1,1,1,,,,,,,,,,
10,Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,1,1,1,1,1,1,,,,,,,,,,
11,Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,1,1,1,1,1,1,,,,,,,,,,
12,Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01018,1,1,1,1,1,1,,,,,,,,,,
13,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,1,1,1,1,,1,,,,,,,1,,,
14,Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,1,1,1,1,,1,,,,,,,1,,,
15,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,1,1,1,1,,1,,,,,,,1,,,
16,Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,1,1,1,1,,1,,,,,,,1,,,
17,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,1,1,1,1,1,1,,,,,,,,,,
18,Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,1,1,1,1,1,1,,,,,,,,,,
19,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,1,1,1,1,,1,,,,,,,1,,,
20,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,1,1,1,1,,1,,,,,,,1,,,
21,Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,1,1,1,1,1,1,,,,,,,,,,
