,Symbol,Industry,ISIN Code,Series,Company Name,NIFTY_100,NIFTY_200,NIFTY_50,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,NIFTY_MICROCAP250,NIFTY_MIDCAP100,NIFTY_MIDCAP150,NIFTY_MIDCAP50,NIFTY_MIDSMALLCAP400,NIFTY_NEXT50,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,NIFTY_SMALLCAP50,NIFTY_TOTALMARKET
0,3MINDIA,Diversified,INE470A01017,EQ,3M India Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
1,ABB,Capital Goods,INE117A01022,EQ,ABB India Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,NIFTY_MIDCAP50,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
2,ACC,Construction Materials,INE012A01025,EQ,ACC Ltd.,NIFTY_100,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,NIFTY_NEXT50,,,,NIFTY_TOTALMARKET
3,ADFFOODS,Fast Moving Consumer Goods,INE982B01019,EQ,ADF Foods Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
4,AGI,Capital Goods,INE415A01038,EQ,AGI Greenpac Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
5,AIAENG,Capital Goods,INE212H01026,EQ,AIA Engineering Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
6,APLAPOLLO,Capital Goods,INE702C01027,EQ,APL Apollo Tubes Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
7,AUBANK,Financial Services,INE949L01017,EQ,AU Small Finance Bank Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,NIFTY_MIDCAP50,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
8,AARTIDRUGS,Healthcare,INE767A01016,EQ,Aarti Drugs Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
9,AAVAS,Financial Services,INE216P01012,EQ,Aavas Financiers Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
10,ABBOTINDIA,Healthcare,INE358A01014,EQ,Abbott India Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,NIFTY_MIDCAP50,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
11,ACCELYA,Information Technology,INE793A01012,EQ,Accelya Solutions India Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
12,ACE,Capital Goods,INE731H01025,EQ,Action Construction Equipment Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
13,ADANIENT,Metals & Mining,INE423A01024,EQ,Adani Enterprises Ltd.,NIFTY_100,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,NIFTY_NEXT50,,,,NIFTY_TOTALMARKET
14,ADANIGREEN,Power,INE364U01010,EQ,Adani Green Energy Ltd.,NIFTY_100,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,NIFTY_NEXT50,,,,NIFTY_TOTALMARKET
15,ADANIPORTS,Services,INE742F01042,EQ,Adani Ports and Special Economic Zone Ltd.,NIFTY_100,NIFTY_200,NIFTY_50,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,,,,,NIFTY_TOTALMARKET
16,ATGL,Oil Gas & Consumable Fuels,INE399L01023,EQ,Adani Total Gas Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
17,ADANITRANS,Power,INE931S01010,EQ,Adani Transmission Ltd.,NIFTY_100,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,,,,NIFTY_NEXT50,,,,NIFTY_TOTALMARKET
18,ABCAPITAL,Financial Services,INE674K01013,EQ,Aditya Birla Capital Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
19,ABFRL,Consumer Services,INE647O01011,EQ,Aditya Birla Fashion and Retail Ltd.,,NIFTY_200,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,NIFTY_MIDCAP100,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
20,ABSLAMC,Financial Services,INE404A01024,EQ,Aditya Birla Sun Life AMC Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
21,ADVENZYMES,Fast Moving Consumer Goods,INE837H01020,EQ,Advanced Enzyme Tech Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
22,AEGISCHEM,Oil Gas & Consumable Fuels,INE208C01025,EQ,Aegis Logistics Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,,,,,,NIFTY_MIDSMALLCAP400,,NIFTY_SMALLCAP100,NIFTY_SMALLCAP250,,NIFTY_TOTALMARKET
23,AFFLE,Information Technology,INE00WC01027,EQ,Affle (India) Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
24,AHLUCONT,Construction,INE758C01029,EQ,Ahluwalia Contracts (India) Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
25,AJANTPHARM,Healthcare,INE031B01049,EQ,Ajanta Pharmaceuticals Ltd.,,,,NIFTY_500,NIFTY_500MULTICAP502525,NIFTY_LARGEMIDCAP250,,,NIFTY_MIDCAP150,,NIFTY_MIDSMALLCAP400,,,,,NIFTY_TOTALMARKET
26,AKZOINDIA,Consumer Durables,INE133A01011,EQ,Akzo Nobel India Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
27,ALEMBICLTD,Realty,INE426A01027,EQ,Alembic Ltd.,,,,,,,NIFTY_MICROCAP250,,,,,,,,,NIFTY_TOTALMARKET
