Symbol,Industry
3MINDIA,Diversified
ABB,Capital Goods
ACC,Construction Materials
ADFFOODS,Fast Moving Consumer Goods
AGI,Capital Goods
AIAENG,Capital Goods
APLAPOLLO,Capital Goods
AUBANK,Financial Services
AARTIDRUGS,Healthcare
AAVAS,Financial Services
ABBOTINDIA,Healthcare
ACCELYA,Information Technology
ACE,Capital Goods
ADANIENT,Metals & Mining
ADANIGREEN,Power
ADANIPORTS,Services
ATGL,Oil Gas & Consumable Fuels
ADANITRANS,Power
ABCAPITAL,Financial Services
ABFRL,Consumer Services
ABSLAMC,Financial Services
ADVENZYMES,Fast Moving Consumer Goods
AEGISCHEM,Oil Gas & Consumable Fuels
AFFLE,Information Technology
AHLUCONT,Construction
AJANTPHARM,Healthcare
AKZOINDIA,Consumer Durables
ALEMBICLTD,Realty
APLLTD,Healthcare
ALKEM,Healthcare
ALKYLAMINE,Chemicals
ALLCARGO,Services
ALOKINDS,Textiles
AMARAJABAT,Automobile and Auto Components
AMBER,Consumer Durables
AMBUJACEM,Construction Materials
AMIORG,Healthcare
AMRUTANJAN,Healthcare
ANANDRATHI,Financial Services
ANANTRAJ,Realty
ANDHRSUGAR,Chemicals
ANGELONE,Financial Services
ANURAS,Chemicals
APARINDS,Capital Goods
APCOTEXIND,Capital Goods
APOLLOHOSP,Healthcare
APOLLOPIPE,Capital Goods
APOLLOTYRE,Automobile and Auto Components
APTUS,Financial Services
ARVINDFASN,Consumer Services
ARVIND,Textiles
ASAHIINDIA,Automobile and Auto Components
ASHIANA,Realty
ASHOKLEY,Capital Goods
ASHOKA,Construction
ASIANPAINT,Consumer Durables
ASTEC,Chemicals
ASTERDM,Healthcare
ASTRAMICRO,Capital Goods
ASTRAZEN,Healthcare
ASTRAL,Capital Goods
ATUL,Chemicals
AUROPHARMA,Healthcare
AUTOAXLES,Automobile and Auto Components
AVANTIFEED,Fast Moving Consumer Goods
DMART,Consumer Services
AXISBANK,Financial Services
BASF,Chemicals
BFUTILITIE,Construction
BLS,Consumer Services
BSE,Financial Services
BAJAJ-AUTO,Automobile and Auto Components
BAJAJCON,Fast Moving Consumer Goods
BAJAJELEC,Consumer Durables
BAJFINANCE,Financial Services
BAJAJFINSV,Financial Services
BAJAJHIND,Fast Moving Consumer Goods
BAJAJHLDNG,Financial Services
BALAMINES,Chemicals
BALKRISIND,Automobile and Auto Components
BALMLAWRIE,Diversified
BALRAMCHIN,Fast Moving Consumer Goods
BANDHANBNK,Financial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
MAHABANK,Financial Services
BARBEQUE,Consumer Services
BATAINDIA,Consumer Durables
BAYERCROP,Chemicals
BERGEPAINT,Consumer Durables
BESTAGRO,Chemicals
BEPL,Chemicals
BDL,Capital Goods
BEL,Capital Goods
BHARATFORG,Capital Goods
BHEL,Capital Goods
BPCL,Oil Gas & Consumable Fuels
BHARATRAS,Chemicals
BHARTIARTL,Telecommunication
BIOCON,Healthcare
BIRLACORPN,Construction Materials
BSOFT,Information Technology
BLUEDART,Services
BLUESTARCO,Consumer Durables
BBTC,Fast Moving Consumer Goods
BOMDYEING,Textiles
BOROLTD,Consumer Durables
BORORENEW,Capital Goods
BOSCHLTD,Automobile and Auto Components
BRIGADE,Realty
BCG,Information Technology
BRITANNIA,Fast Moving Consumer Goods
MAPMYINDIA,Information Technology
CARERATING,Financial Services
CCL,Fast Moving Consumer Goods
CESC,Power
CGPOWER,Capital Goods
CMSINFO,Services
CRISIL,Financial Services
CSBBANK,Financial Services
CAMLINFINE,Chemicals
